entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-11-22T15:00:00.000000000,10833.0,1,9,5000000.0,1.0,2017-12-01T15:00:00.000000000,10610.0,signal_exit,-100992.98700000001,642.987,900.0,421
2018-01-03T15:00:00.000000000,10793.0,1,9,4899007.012999999,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,84404.025,645.9749999999999,900.0,828
2018-01-18T15:00:00.000000000,11064.0,1,9,4983411.037999999,1.0,2018-02-07T15:00:00.000000000,10500.0,signal_exit,-254444.076,644.076,900.0,438
2018-10-25T15:00:00.000000000,9505.0,-1,9,4728966.961999998,1.0,2018-11-20T13:35:00.000000000,9737.0,roll_blackout,-105023.178,623.1780000000001,900.0,47
2018-12-25T15:00:00.000000000,9480.0,-1,9,4623943.783999998,1.0,2019-01-15T13:35:00.000000000,9800.0,roll_blackout,-144623.52000000002,623.52,900.0,178
2019-05-03T15:00:00.000000000,11094.0,1,8,4479320.263999998,1.0,2019-05-14T13:35:00.000000000,10541.0,roll_blackout,-221773.08000000002,573.0799999999999,800.0,39
2019-07-15T15:00:00.000000000,10850.0,1,7,4257547.183999998,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,9997.89,502.11,700.0,48
2019-10-01T15:00:00.000000000,10958.0,1,7,4267545.073999997,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,50945.559,504.44100000000003,700.0,153
2019-11-04T15:00:00.000000000,11550.0,1,7,4318490.632999997,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,33087.628000000004,512.372,700.0,300
2019-12-11T15:00:00.000000000,11710.0,1,7,4351578.260999997,1.0,2019-12-17T13:35:00.000000000,12093.0,roll_blackout,133533.379,516.6210000000001,700.0,82
2020-11-09T15:00:00.000000000,13114.0,1,6,4485111.639999998,1.0,2020-11-17T13:35:00.000000000,13604.0,roll_blackout,146539.69199999998,460.308,600.0,13
2020-11-23T15:00:00.000000000,13875.0,1,6,4631651.331999998,1.0,2020-12-15T13:35:00.000000000,14059.0,roll_blackout,54732.396,467.604,600.0,173
2020-12-21T15:00:00.000000000,14319.0,1,6,4686383.727999997,1.0,2020-12-31T13:44:00.000000000,14677.0,period_end,106926.02399999999,473.976,600.0,309
