,equity
2024-01-02,4996157.126
2024-01-03,4983557.126
2024-01-04,4983557.126
2024-01-05,4982207.126
2024-01-08,4986007.126
2024-01-09,4983507.126
2024-01-10,4979157.126
2024-01-11,4985007.126
2024-01-12,4980707.126
2024-01-15,4984207.126
2024-01-16,4973414.782
2024-01-17,4973414.782
2024-01-18,4973414.782
2024-01-19,4973414.782
2024-01-22,4973414.782
2024-01-23,4976621.977
2024-01-24,4978271.977
2024-01-25,4982871.977
2024-01-26,4983071.977
2024-01-29,4989371.977
2024-01-30,4987171.977
2024-01-31,4979121.977
2024-02-01,4982421.977
2024-02-02,4987321.977
2024-02-05,4987421.977
2024-02-15,5016471.977
2024-02-16,5014821.977
2024-02-19,5016671.977
2024-02-20,5020278.233
2024-02-21,5020278.233
2024-02-22,5020278.233
2024-02-23,5021334.342
2024-02-26,5023834.342
2024-02-27,5019034.342
2024-02-29,5023984.342
2024-03-01,5023734.342
2024-03-04,5041384.342
2024-03-05,5045134.342
2024-03-06,5051134.342
2024-03-07,5061134.342
2024-03-08,5065234.342
2024-03-11,5061434.342
2024-03-12,5073434.342
2024-03-13,5072034.342
2024-03-14,5072634.342
2024-03-15,5062184.342
2024-03-18,5071634.342
2024-03-19,5068739.48
2024-03-20,5068739.48
2024-03-21,5068739.48
2024-03-22,5066894.202
2024-03-25,5066344.202
2024-03-26,5064144.202
2024-03-27,5067844.202
2024-03-28,5064944.202
2024-03-29,5068794.202
2024-04-01,5069194.202
2024-04-02,5080944.202
2024-04-03,5072244.202
2024-04-08,5077294.202
2024-04-09,5098494.202
2024-04-10,5097344.202
2024-04-11,5092444.202
2024-04-12,5092544.202
2024-04-15,5080194.202
2024-04-16,5050999.277
2024-04-17,5050999.277
2024-04-18,5050999.277
2024-04-19,5009103.894
2024-04-22,5008003.894
2024-04-23,5015653.894
2024-04-24,5040303.894
2024-04-25,5026053.894
2024-04-26,5040703.894
2024-04-29,5059403.894
2024-04-30,5052453.894
2024-05-02,5046353.894
2024-05-03,5050903.894
2024-05-06,5061903.894
2024-05-07,5064303.894
2024-05-08,5068053.894
2024-05-09,5062403.894
2024-05-10,5072253.894
2024-05-13,5075953.894
2024-05-14,5081557.898
2024-05-15,5081557.898
2024-05-16,5081557.898
2024-05-17,5080611.544
2024-05-20,5078911.544
2024-05-21,5077661.544
2024-05-22,5092961.544
2024-05-23,5094011.544
2024-05-24,5092061.544
2024-05-27,5107561.544
2024-05-28,5111511.544
2024-05-29,5099911.544
2024-05-30,5083361.544
2024-05-31,5078061.544
2024-06-03,5096511.544
2024-06-04,5079811.544
2024-06-05,5086961.544
2024-06-06,5107561.544
2024-06-07,5108661.544
2024-06-11,5103711.544
2024-06-12,5116111.544
2024-06-13,5129961.544
2024-06-14,5139361.544
2024-06-17,5137661.544
2024-06-18,5153013.759
2024-06-19,5153013.759
2024-06-20,5153013.759
2024-06-21,5145615.402
2024-06-24,5122415.402
2024-06-25,5122265.402
2024-06-26,5128715.402
2024-06-27,5124765.402
2024-06-28,5134265.402
2024-07-01,5134665.402
2024-07-02,5126665.402
2024-07-03,5144365.402
2024-07-04,5166315.402
2024-07-05,5163615.402
2024-07-08,5180765.402
2024-07-09,5179015.402
2024-07-10,5185115.402
2024-07-11,5203465.402
2024-07-12,5175515.402
2024-07-15,5177765.402
2024-07-16,5183366.436
2024-07-17,5183366.436
2024-07-18,5183366.436
2024-07-19,5152667.914
2024-07-22,5126167.914
2024-07-23,5148717.914
2024-07-26,5111967.914
2024-07-29,5120267.914
2024-07-30,5119517.914
2024-07-31,5121717.914
2024-08-01,5124620.565
2024-08-02,5124620.565
2024-08-05,5124620.565
2024-08-06,5124620.565
2024-08-07,5124620.565
2024-08-08,5124620.565
2024-08-09,5124620.565
2024-08-12,5124620.565
2024-08-13,5124620.565
2024-08-14,5124620.565
2024-08-15,5124620.565
2024-08-16,5124620.565
2024-08-19,5124620.565
2024-08-20,5124620.565
2024-08-21,5124620.565
2024-08-22,5124620.565
2024-08-23,5124620.565
2024-08-26,5124620.565
2024-08-27,5124620.565
2024-08-28,5124620.565
2024-08-29,5124620.565
2024-08-30,5124620.565
2024-09-02,5124620.565
2024-09-03,5124620.565
2024-09-04,5124620.565
2024-09-05,5124620.565
2024-09-06,5124620.565
2024-09-09,5124620.565
2024-09-10,5124620.565
2024-09-11,5124620.565
2024-09-12,5124620.565
2024-09-13,5124620.565
2024-09-16,5124620.565
2024-09-18,5124620.565
2024-09-19,5124620.565
2024-09-20,5124620.565
2024-09-23,5124620.565
2024-09-24,5124620.565
2024-09-25,5124620.565
2024-09-26,5133972.796
2024-09-27,5130322.796
2024-09-30,5102422.796
2024-10-01,5105672.796
2024-10-04,5100322.796
2024-10-07,5125072.796
2024-10-08,5114872.796
2024-10-09,5121222.796
2024-10-11,5131722.796
2024-10-14,5136522.796
2024-10-15,5148374.55
2024-10-16,5148374.55
2024-10-17,5148374.55
2024-10-18,5156176.05
